Nome,Descricao,Genero,Pais,Emprego,Ano nasc,Ano morte
Pedro Aguirre Cerda,Chilean politician and President (1879-1941),Male,Chile,Politician,1879,1941
Pedro I of Brazil,first Emperor of Brazil (1798-1834),Male,Kingdom of Portugal; Empire of Brazil,Artist,1798,1834
Pedro Montt,Chilean politician and President (1849-1910),Male,Chile,Politician,1849,1910
Philipp Ludwig von Seidel,German mathematician,Male,German Empire; German Confederation,Researcher,1821,1896
Pierre Corneille,French tragedian,Male,Kingdom of France,Artist,1606,1684
Pierre Poivre,French horticulturalist (1719-1786),Male,Kingdom of France,Researcher,1719,1786
Piet Kraak,Dutch footballer (1921-1984),Male,Kingdom of the Netherlands,Athlete,1921,1984
Plato,ancient Greek philosopher,Male,Classical Athens,Artist,-427,-347
Ramón Barros Luco,Chilean politician and President (1835-1919),Male,Chile,Politician,1835,1919
Roald Amundsen,Norwegian explorer; first person to reach the South Pole,Male,Norway,Researcher,1872,1928
Salvador Allende,28th president of Chile (1908–1973),Male,Chile,Politician,1908,1973
Sandro Pertini,7th President of Italy (1896-1990),Male,Italy; Kingdom of Italy,Politician,1896,1990
Socrates,ancient Greek philosopher,Male,Classical Athens,Philosopher,-470,-399
Stendhal,19th century French writer,Male,France,Artist,1783,1842
Stéphane Mallarmé,French Symbolist poet,Male,France,Artist,1842,1898
Trygve Lie,1st Secretary-General of the United Nations (1896-1968),Male,Norway,Politician,1896,1968
Victor Hugo,"French poet, novelist, and dramatist (1802-1885)",Male,France,Artist,1802,1885
Vladimir Vysotsky,"Soviet singer, songwriter, poet and actor",Male,Soviet Union,Artist,1938,1980
William Shakespeare,English playwright and poet,Male,Kingdom of England,Playwright,1564,1616
Wolfgang Amadeus Mozart,Austrian composer of the Classical period,Male,Archduchy of Austria; Archbishopric of Salzburg,Artist,1756,1791
Yanka Kupala,Belarusian writer (1882-1942),Male,Byelorussian Soviet Socialist Republic; Russian Empire; Belarusian People's Republic,Artist,1882,1942
